Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_551.jpg,0,0,1,-0.356515,117.6296,132.165,0.07412207,164.2211,359.9766
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_588.jpg,0,0,0,-0.3557018,117.6433,132.1612,0.07669108,164.2211,359.9793
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_629.jpg,0,0,0,-0.3548896,117.6569,132.1573,0.07910777,164.221,359.9821
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_670.jpg,0,0,0,-0.3540785,117.6705,132.1535,0.08134815,164.221,359.9848
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_710.jpg,0,0,0,-0.3532686,117.6841,132.1497,0.08339348,164.221,359.9875
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_751.jpg,0,0,0,-0.35246,117.6976,132.1458,0.08522931,164.221,359.9902
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_793.jpg,0,0,0,-0.3516527,117.7179,132.1401,0.08756559,164.221,359.994
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_834.jpg,0,0,0,-0.3504445,117.7313,132.1363,0.08883594,164.221,-0.003485692
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_874.jpg,0,0,0,-0.349641,117.7448,132.1325,0.08987428,164.221,-0.001146469
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_915.jpg,-0.07759714,0,0,-0.3488386,117.7582,132.1287,0.09068257,164.2216,0.001148083
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_955.jpg,-0.6202559,0,0,-0.3480294,117.7716,132.1249,0.09127156,164.2285,0.004160557
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_33_997.jpg,-0.6617984,0,0,-0.3472243,117.785,132.121,0.09165804,164.243,0.007826279
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_037.jpg,0,0,0,-0.3464288,117.7983,132.1173,0.09183153,164.2447,0.009304575
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_078.jpg,0,0,0,-0.345634,117.8116,132.1135,0.09180679,164.2448,0.01055261
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_118.jpg,0,0,0,-0.3448413,117.8249,132.1098,0.09159697,164.2448,0.01162907
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_159.jpg,0,0,0,-0.3440505,117.8381,132.1061,0.09121681,164.2448,0.01253317
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_200.jpg,0,0,0,-0.3432617,117.8514,132.1023,0.09068292,164.2448,0.01326774
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_240.jpg,0,0,0,-0.342475,117.8646,132.0986,0.09001274,164.2448,0.0138359
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_282.jpg,0,0,0,-0.3416904,117.8777,132.0949,0.08922293,164.2448,0.01424245
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_322.jpg,0,0,0,-0.3409079,117.8909,132.0912,0.08833218,164.2448,0.01449371
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_365.jpg,0,0,0,-0.3401275,117.904,132.0875,0.08735771,164.2448,0.01459687
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_405.jpg,0,0,0,-0.3393492,117.9171,132.0838,0.08631819,164.2448,0.01455946
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_446.jpg,0,0,0,-0.3385731,117.9301,132.0801,0.08522981,164.2448,0.01439067
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_487.jpg,0,0,0,-0.337799,117.9432,132.0764,0.08410913,164.2448,0.01409962
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_527.jpg,0,0,0,-0.337027,117.9562,132.0728,0.08297131,164.2448,0.01369626
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_568.jpg,0,0,0,-0.336257,117.9691,132.0691,0.08183105,164.2448,0.01319117
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_608.jpg,0,0,0,-0.3354892,117.9821,132.0654,0.08070207,164.2448,0.01259508
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_649.jpg,0,0,0,-0.3347234,117.995,132.0618,0.07959643,164.2448,0.01191895
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_691.jpg,0,0,0,-0.3339596,118.0079,132.0582,0.07852487,164.2448,0.01117379
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_732.jpg,0,0,0,-0.3331978,118.0207,132.0546,0.07749729,164.2448,0.01037126
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_773.jpg,0,0,0,-0.3324379,118.0399,132.0491,0.07605573,164.2448,0.009081928
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_814.jpg,0,0,0,-0.3316801,118.0527,132.0455,0.0751711,164.2448,0.008181772
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_855.jpg,0,0,0,-0.3305469,118.0654,132.0419,0.07435359,164.2448,0.007260513
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_895.jpg,0,0,0,-0.3297937,118.0782,132.0383,0.07360616,164.2448,0.006327849
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_936.jpg,0,0,0,-0.3290424,118.0909,132.0348,0.07293174,164.2448,0.005393852
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_977.jpg,0,0,0,-0.3282929,118.1035,132.0312,0.07233098,164.2448,0.004466474
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_018.jpg,-0.2993821,0,0.01995881,-0.3121724,118.1156,132.0278,0.08325233,164.2428,0.003616505
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_059.jpg,-2.107517,0,0.1405011,-0.2444505,118.1254,132.0249,0.1482804,164.2654,0.004659692
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_100.jpg,-3.986335,0,0.2657557,-0.1229356,118.1256,132.0249,0.4278032,164.2654,0.003117775
